trade_date,ts_code,open,high,low,close,pre_close,change,pct_chg,vol,amount
20180102,300015.SZ,7.1222,7.1797,6.9614,6.989,7.0763,-0.08729999999999993,-1.2337,76077.15,232862.857
20180103,300015.SZ,6.9844,6.9959,6.7133,6.9499,6.989,-0.03909999999999947,-0.5595,100991.31,301871.879
20180104,300015.SZ,7.0096,7.0211,6.7868,6.8167,6.9499,-0.13320000000000043,-1.9166,123724.73,370085.843
20180105,300015.SZ,7.0418,7.4278,6.9867,7.2371,6.8167,0.4203999999999999,6.1672,212893.29,670992.778
20180108,300015.SZ,7.2785,7.7425,7.2762,7.7265,7.2371,0.48939999999999984,6.7624,159211.72,521333.322
20180109,300015.SZ,7.7242,7.8597,7.5886,7.6736,7.7265,-0.05289999999999928,-0.6847,111497.14,375510.201
20180110,300015.SZ,7.7517,8.0228,7.7219,7.7885,7.6736,0.11489999999999956,1.4973,114467.97,390435.875
20180111,300015.SZ,7.7586,8.0389,7.6667,7.7862,7.7885,-0.0022999999999999687,-0.0295,97073.33,331588.025
20180112,300015.SZ,7.7655,7.8758,7.6736,7.8367,7.7862,0.05050000000000043,0.6486,60669.53,205350.065
20180115,300015.SZ,7.7265,7.9516,7.5587,7.6851,7.8367,-0.15160000000000018,-1.9345,103151.57,348384.92
20180116,300015.SZ,7.7081,8.2595,7.7081,8.1446,7.6851,0.45950000000000024,5.9791,124356.85,435809.117
20180117,300015.SZ,8.186,8.3376,7.9263,8.101,8.1446,-0.04359999999999964,-0.5353,113952.91,401962.9
20180118,300015.SZ,8.0412,8.3238,8.0251,8.2641,8.101,0.16309999999999825,2.0133,119333.49,426777.013
20180119,300015.SZ,8.1561,8.1997,8.0366,8.0642,8.2641,-0.19989999999999952,-2.4189,74234.86,261439.452
20180122,300015.SZ,8.1101,8.1469,7.9723,8.0412,8.0642,-0.022999999999999687,-0.2852,67537.64,237019.424
20180123,300015.SZ,8.0412,8.1768,8.0182,8.1768,8.0412,0.13560000000000016,1.6863,71621.53,253460.772
20180124,300015.SZ,8.1745,8.464,8.0527,8.3468,8.1768,0.16999999999999993,2.0791,122450.66,441532.109
20180125,300015.SZ,8.3629,8.441,8.1814,8.2227,8.3468,-0.12410000000000032,-1.4868,65719.9,236555.889
20180126,300015.SZ,8.1561,8.3054,8.0458,8.1101,8.2227,-0.11260000000000048,-1.3694,71472.22,253909.219
20180129,300015.SZ,8.032,8.1814,7.9263,8.0182,8.1101,-0.09189999999999898,-1.1332,87265.18,304886.079
20180130,300015.SZ,8.0182,8.0596,7.9286,7.9884,8.0182,-0.029799999999999827,-0.3717,46163.21,160298.564
20180131,300015.SZ,7.9884,8.1584,7.9424,8.0366,7.9884,0.048199999999999577,0.6034,71400.82,250550.454
20180201,300015.SZ,8.0458,8.2802,7.9263,7.9493,8.0366,-0.08729999999999993,-1.0863,85239.11,300722.023
20180202,300015.SZ,7.9034,8.0091,7.6552,7.9286,7.9493,-0.02069999999999972,-0.2604,60473.45,207279.848
20180205,300015.SZ,7.7563,7.9011,7.6966,7.7196,7.9286,-0.20900000000000052,-2.636,73932.22,249945.279
20180206,300015.SZ,7.4668,7.6392,7.1911,7.2371,7.7196,-0.48249999999999993,-6.2503,156828.23,505979.78
20180207,300015.SZ,7.4393,7.669,7.3106,7.4898,7.2371,0.2526999999999999,3.4917,147813.17,483609.229
20180208,300015.SZ,7.4439,7.6529,7.3336,7.4668,7.4898,-0.022999999999999687,-0.3071,86243.61,281660.513
