trade_date,ts_code,open,high,low,close,pre_close,change,pct_chg,vol,amount
20190507,000026.SZ,6.8011,6.9536,6.7742,6.9357,6.7742,0.1614999999999993,2.384,30309.49,23275.763
20190508,000026.SZ,6.855,7.0434,6.7742,6.8819,6.9357,-0.05379999999999985,-0.7757,32256.12,24900.098
20190509,000026.SZ,6.8819,7.0703,6.828,6.9267,6.8819,0.044800000000000395,0.651,32726.0,25484.671
20190510,000026.SZ,6.9716,7.1062,6.8729,7.0613,6.9267,0.13459999999999983,1.9432,37950.38,29752.3
20190513,000026.SZ,7.0434,7.0793,6.9895,7.0344,7.0613,-0.026900000000000368,-0.3809,18579.0,14557.08
20190514,000026.SZ,6.9357,7.0254,6.9267,6.9626,7.0344,-0.07179999999999964,-1.0207,20271.25,15770.078
20190515,000026.SZ,6.9716,7.1241,6.9716,7.0703,6.9626,0.10769999999999946,1.5468,23575.0,18546.099
20190516,000026.SZ,7.0434,7.2049,7.0344,7.1241,7.0703,0.053800000000000736,0.7609,25272.4,20069.643
20190517,000026.SZ,7.1241,7.1331,6.828,6.8819,7.1241,-0.24220000000000041,-3.3997,26948.0,20999.066
20190520,000026.SZ,6.8908,6.9178,6.7921,6.8998,6.8819,0.017900000000000027,0.2601,17815.0,13615.218
20190521,000026.SZ,6.8908,7.0613,6.8819,7.0254,6.8998,0.12560000000000038,1.8203,15712.02,12250.864
20190522,000026.SZ,7.0254,7.0793,6.9178,6.9985,7.0254,-0.026900000000000368,-0.3829,14291.0,11169.406
20190523,000026.SZ,6.9357,7.0165,6.9267,6.9447,6.9985,-0.05379999999999985,-0.7687,12734.0,9879.193
20190524,000026.SZ,6.9178,6.9536,6.828,6.8998,6.9447,-0.04490000000000016,-0.6465,12875.89,9891.68
20190527,000026.SZ,6.9357,7.0972,6.8639,7.0613,6.8998,0.1615000000000002,2.3406,24694.26,19223.382
20190528,000026.SZ,7.0882,7.1152,7.0075,7.0523,7.0613,-0.009000000000000341,-0.1275,23397.85,18432.45
20190529,000026.SZ,7.0613,7.1959,7.0075,7.1152,7.0523,0.06289999999999996,0.8919,27509.0,21796.133
20190530,000026.SZ,7.0703,7.0882,6.9716,7.0523,7.1152,-0.06289999999999996,-0.884,18716.53,14657.87
20190531,000026.SZ,7.1062,7.2318,7.0793,7.0882,7.0523,0.03589999999999982,0.5091,30293.89,24153.767
20190603,000026.SZ,7.0434,7.16,7.0165,7.0882,7.0882,0.0,0.0,23178.55,18275.182
20190604,000026.SZ,7.0882,7.0882,6.855,6.8819,7.0882,-0.2062999999999997,-2.9105,27010.87,20894.187
20190605,000026.SZ,6.9447,6.9716,6.828,6.855,6.8819,-0.02689999999999948,-0.3909,27158.08,20872.825
20190606,000026.SZ,6.855,6.8729,6.6665,6.6934,6.855,-0.16160000000000085,-2.3574,23899.45,17926.033
20190610,000026.SZ,6.7204,6.8191,6.7024,6.7742,6.6934,0.08080000000000087,1.2072,17047.0,12859.074
20190611,000026.SZ,6.7742,6.9626,6.7742,6.9536,6.7742,0.17939999999999934,2.6483,22146.0,17045.431
20190612,000026.SZ,6.9536,6.9895,6.846,6.8908,6.9536,-0.06280000000000019,-0.9031,28914.8,22277.104
20190613,000026.SZ,6.8639,6.9267,6.828,6.9178,6.8908,0.027000000000000135,0.3918,19717.79,15131.276
20190614,000026.SZ,6.9088,6.9626,6.8639,6.8908,6.9178,-0.027000000000000135,-0.3903,19086.0,14712.721
20190617,000026.SZ,6.8908,6.8998,6.7563,6.7832,6.8908,-0.1075999999999997,-1.5615,20127.0,15284.146
20190618,000026.SZ,6.7832,6.837,6.7652,6.8011,6.7832,0.017900000000000027,0.2639,11034.0,8363.051
20190619,000026.SZ,6.8908,6.9267,6.837,6.837,6.8011,0.03589999999999982,0.5279,18732.48,14387.858
20190620,000026.SZ,6.837,7.0075,6.8011,6.9895,6.837,0.15249999999999986,2.2305,31947.0,24720.961
20190621,000026.SZ,6.9716,7.0972,6.9716,7.0613,6.9895,0.07180000000000053,1.0273,28087.39,22061.801
20190624,000026.SZ,7.0882,7.0882,7.0165,7.0613,7.0613,0.0,0.0,19284.0,15152.037
20190625,000026.SZ,7.0613,7.0882,6.9806,7.0613,7.0613,0.0,0.0,25902.31,20301.995
20190626,000026.SZ,7.0434,7.0972,6.9985,7.0703,7.0613,0.008999999999999453,0.1275,18177.63,14305.022
